term,estimate,std.error,statistic,p.value,conf.low,conf.high,odds_ratio,cambio_pct,sig
chi_score_month_0,-0.005142701988290665,0.0014542857024723544,-3.5362391169409344,4.058671484526745e-4,-0.008024918751759922,-0.0023199084482708396,0.9948704990641918,-0.5129500935808218,***
chi_score_0_1,-0.008685526445439542,0.0029801399869241,-2.9144692811575466,0.0035629387171708126,-0.01447991782052349,-0.0028027323570126847,0.9913520837724301,-0.8647916227569885,**
support_cases_0_1,0.33264737445842996,0.13971249982242392,2.3809421124182037,0.017268425345530386,0.09518235351865556,0.6442724071604893,1.3946554206275528,39.465542062755276,*
customer_age_in_months,0.014782703937339627,0.006267742229564736,2.358537316293911,0.01834711505657954,0.00216045295916405,0.026768113816632744,1.0148925085074776,1.4892508507477586,*
views_0_1,-9.98210549822185e-5,4.274130516594251e-5,-2.335470444682601,0.0195188581289872,-1.8231022768736615e-4,-6.11140747243944e-6,0.9999001839269736,-0.009981607302644857,*
days_since_last_login_0_1,0.010956585783809916,0.004730021233905464,2.3163925153805978,0.02053684704650636,0.0022496482119877294,0.020697817429362726,1.011016828988741,1.10168289887409,*
support_cases_month_0,-0.2737945617688742,0.14716570428509979,-1.8604508645469466,0.06282176403214314,-0.6011034419544629,-0.0234298120761059,0.7604882925834476,-23.951170741655236,
sp_0_1,-0.13210079378808975,0.10017664992477646,-1.3186784933144142,0.18727661974253768,-0.33005623853514116,0.06359984250855051,0.8762526698022153,-12.374733019778471,
sp_month_0,0.14415156620223282,0.12325685997875702,1.1695216495623606,0.24219352388576246,-0.09672545632872744,0.3873245974011398,1.155059163189112,15.505916318911206,
blog_articles_0_1,-0.00300558110227737,0.025722842152119164,-0.11684482937394834,0.9069830183322941,-0.05668592978291641,0.02550628219352203,0.9969989311348403,-0.3001068865159717,
logins_0_1,-1.0801344791102924e-4,0.0024918135746226882,-0.0433473230144774,0.9654246683396519,-0.005541360739102484,0.0040281087305707895,0.9998919923853314,-0.010800761466855935,
