Variable,Coeficiente,Odds_Ratio,Cambio_Porcentual,P_valor,Sig
chi_score_month_0,-0.0051,0.9949,-0.5%,0.000406,***
chi_score_0_1,-0.0087,0.9914,-0.9%,0.003563,**
